#
#     Code: data.txt 
#
#     Author:  Joshua Peterson
#   
#     Date:            Data for MCNP or scale
#
#     Description:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
########################################  

 Name   Name      Identifier  Mass (amu)  Nuclide_Type_1_act_2_U+_3_fp
fe-72      fe72      26072      71.9696          1
co-47      co47      27047      47.0115          1
co-48      co48      27048      48.0018          1
co-49      co49      27049      48.9897          1
co-50      co50      27050      49.9815          1
co-51      co51      27051      50.9707          1
co-52      co52      27052      51.9636          1
co-53      co53      27053      52.9542          1
co-54      co54      27054      53.9485          1
co-55      co55      27055      54.942           1
co-56      co56      27056      55.9398          1
co-57      co57      27057      56.9363          1
co-58      co58      27058      57.9357          1
co-58m      co58m      27601                     1
co-59      co59      27059      58.9332          1
co-60      co60      27060      59.9338          1
co-61      co61      27061      60.9325          1
co-62      co62      27062      61.9341          1
co-63      co63      27063      62.9336          1
co-64      co64      27064      63.9358          1
co-65      co65      27065      64.9365          1
co-66      co66      27066      65.9398          1
co-67      co67      27067      66.9409          1
co-68      co68      27068      67.9449          1
co-69      co69      27069      68.9463          1
co-70      co70      27070      69.951           1
co-71      co71      27071      70.9529          1
co-72      co72      27072      71.9578          1
co-73      co73      27073      72.9602          1
co-74      co74      27074      73.9654          1
co-75      co75      27075      74.9683          1
ni-48      ni48      28048      48.0197          1
ni-49      ni49      28049      49.0097          1
ni-50      ni50      28050      49.9959          1
ni-51      ni51      28051      50.9877          1
ni-52      ni52      28052      51.9757          1
ni-53      ni53      28053      52.9685          1
ni-54      ni54      28054      53.9579          1
ni-55      ni55      28055      54.9513          1
ni-56      ni56      28056      55.9421          1
ni-57      ni57      28057      56.9398          1
ni-58      ni58      28058      57.9353          1
ni-59      ni59      28059      58.9343          1
ni-60      ni60      28060      59.9308          1
ni-61      ni61      28061      60.9311          1
ni-62      ni62      28062      61.9283          1
ni-63      ni63      28063      62.9297          1
ni-64      ni64      28064      63.928           1
ni-65      ni65      28065      64.9301          1
ni-66      ni66      28066      65.9291          1
ni-67      ni67      28067      66.9316          1
ni-68      ni68      28068      67.9319          1
ni-69      ni69      28069      68.9356          1
ni-70      ni70      28070      69.9365          1
ni-71      ni71      28071      70.9407          1
ni-72      ni72      28072      71.9421          1
ni-73      ni73      28073      72.9465          1
ni-74      ni74      28074      73.9481          1
ni-75      ni75      28075      74.9529          1
ni-76      ni76      28076      75.9553          1
ni-77      ni77      28077      76.9605          1
ni-78      ni78      28078      77.9632          1
cu-52      cu52      29052      51.9972          1
cu-53      cu53      29053      52.9855          1
cu-54      cu54      29054      53.9767          1
cu-55      cu55      29055      54.966           1
cu-56      cu56      29056      55.9586          1
cu-57      cu57      29057      56.9492          1
cu-58      cu58      29058      57.9445          1
cu-59      cu59      29059      58.9395          1
cu-60      cu60      29060      59.9374          1
cu-61      cu61      29061      60.9335          1
cu-62      cu62      29062      61.9326          1
cu-63      cu63      29063      62.9296          1
cu-64      cu64      29064      63.9298          1
cu-65      cu65      29065      64.9278          1
cu-66      cu66      29066      65.9289          1
cu-67      cu67      29067      66.9277          1
cu-68      cu68      29068      67.9296          1
cu-69      cu69      29069      68.9294          1
cu-70      cu70      29070      69.9324          1
cu-71      cu71      29071      70.9327          1
cu-72      cu72      29072      71.9358          1
cu-73      cu73      29073      72.9367          1
cu-74      cu74      29074      73.9399          1
cu-75      cu75      29075      74.9419          1
cu-76      cu76      29076      75.9453          1
cu-77      cu77      29077      76.9479          1
cu-78      cu78      29078      77.952           1
cu-79      cu79      29079      78.9546          1
cu-80      cu80      29080      79.9609          1
zn-54      zn54      30054      53.993           1
zn-55      zn55      30055      54.984           1
zn-56      zn56      30056      55.9724          1
zn-57      zn57      30057      56.9648          1
zn-58      zn58      30058      57.9546          1
zn-59      zn59      30059      58.9493          1
zn-60      zn60      30060      59.9418          1
zn-61      zn61      30061      60.9395          1
zn-62      zn62      30062      61.9343          1
zn-63      zn63      30063      62.9332          1
zn-64      zn64      30064      63.9291          1
zn-65      zn65      30065      64.9292          1
zn-66      zn66      30066      65.926           1
zn-67      zn67      30067      66.9271          1
zn-68      zn68      30068      67.9248          1
zn-69      zn69      30069      68.9266          1
zn-70      zn70      30070      69.9253          1
zn-71      zn71      30071      70.9277          1
zn-72      zn72      30072      71.9269          1
zn-73      zn73      30073      72.9298          1
zn-74      zn74      30074      73.9295          1
zn-75      zn75      30075      74.9329          1
zn-76      zn76      30076      75.9333          1
zn-77      zn77      30077      76.937           1
zn-78      zn78      30078      77.9384          1
zn-79      zn79      30079      78.9426          1
zn-80      zn80      30080      79.9443          1
